time_s,temp_C,pwm_pct,error
690,19.831,100.0,2.831
691,20.362,100.0,3.362
692,20.538,100.0,3.538
693,20.538,100.0,3.538
694,20.185,100.0,3.185
695,19.918,100.0,2.918
696,20.608,100.0,3.608
697,20.185,100.0,3.185
698,20.274,100.0,3.274
699,20.095,100.0,3.095
700,19.831,100.0,2.831
701,20.185,100.0,3.185
702,20.817,100.0,3.817
703,20.362,100.0,3.362
704,20.678,100.0,3.678
705,20.678,100.0,3.678
706,20.185,100.0,3.185
707,20.538,100.0,3.538
708,20.451,100.0,3.451
709,20.538,100.0,3.538
710,20.274,100.0,3.274
711,19.918,100.0,2.918
712,20.362,100.0,3.362
713,20.274,100.0,3.274
714,19.743,99.4,2.743
715,20.608,100.0,3.608
716,19.918,100.0,2.918
717,19.918,100.0,2.918
718,19.566,98.5,2.566
719,20.095,100.0,3.095
720,20.538,100.0,3.538
721,20.817,100.0,3.817
722,20.678,100.0,3.678
723,20.748,100.0,3.748
724,20.095,100.0,3.095
725,20.274,100.0,3.274
726,20.748,100.0,3.748
727,20.274,100.0,3.274
728,20.451,100.0,3.451
729,20.095,100.0,3.095
730,20.678,100.0,3.678
731,20.451,100.0,3.451
732,20.185,100.0,3.185
733,20.538,100.0,3.538
734,20.185,100.0,3.185
735,20.185,100.0,3.185
736,20.185,100.0,3.185
737,20.451,100.0,3.451
738,19.831,100.0,2.831
739,20.006,100.0,3.006
740,20.362,100.0,3.362
741,19.566,99.0,2.566
742,20.095,100.0,3.095
743,20.886,100.0,3.886
744,20.451,100.0,3.451
745,20.274,100.0,3.274
746,19.743,100.0,2.743
747,19.655,100.0,2.655
748,20.608,100.0,3.608
749,20.274,100.0,3.274
750,20.095,100.0,3.095
751,20.678,100.0,3.678
752,19.918,100.0,2.918
753,20.451,100.0,3.451
754,20.748,100.0,3.748
755,20.006,100.0,3.006
756,19.566,99.5,2.566
757,20.748,100.0,3.748
758,20.095,100.0,3.095
759,20.185,100.0,3.185
760,20.538,100.0,3.538
761,20.095,100.0,3.095
762,20.274,100.0,3.274
763,20.748,100.0,3.748
764,19.743,100.0,2.743
765,20.006,100.0,3.006
766,20.274,100.0,3.274
767,20.538,100.0,3.538
768,19.918,100.0,2.918
769,20.095,100.0,3.095
770,20.451,100.0,3.451
771,20.274,100.0,3.274
772,20.678,100.0,3.678
773,20.748,100.0,3.748
774,20.451,100.0,3.451
775,20.006,100.0,3.006
776,20.678,100.0,3.678
777,21.336,100.0,4.336
778,19.655,100.0,2.655
779,20.538,100.0,3.538
780,20.274,100.0,3.274
781,20.185,100.0,3.185
782,20.817,100.0,3.817
783,20.538,100.0,3.538
784,20.274,100.0,3.274
785,20.095,100.0,3.095
786,20.538,100.0,3.538
787,19.831,100.0,2.831
788,20.185,100.0,3.185
789,20.185,100.0,3.185
790,20.095,100.0,3.095
791,20.362,100.0,3.362
792,20.678,100.0,3.678
793,19.918,100.0,2.918
794,20.678,100.0,3.678
795,20.608,100.0,3.608
796,20.006,100.0,3.006
797,19.655,100.0,2.655
798,20.538,100.0,3.538
799,19.743,100.0,2.743
800,20.095,100.0,3.095
801,20.362,100.0,3.362
802,20.608,100.0,3.608
803,19.918,100.0,2.918
804,20.362,100.0,3.362
805,20.362,100.0,3.362
806,20.274,100.0,3.274
807,20.451,100.0,3.451
808,19.743,100.0,2.743
809,20.006,100.0,3.006
810,20.817,100.0,3.817
811,20.972,100.0,3.972
812,19.655,100.0,2.655
813,20.006,100.0,3.006
814,20.274,100.0,3.274
815,20.362,100.0,3.362
816,19.918,100.0,2.918
817,19.918,100.0,2.918
818,20.451,100.0,3.451
819,20.538,100.0,3.538
820,20.538,100.0,3.538
821,20.006,100.0,3.006
822,20.362,100.0,3.362
823,19.918,100.0,2.918
824,20.006,100.0,3.006
825,20.538,100.0,3.538
826,20.362,100.0,3.362
827,20.274,100.0,3.274
828,20.538,100.0,3.538
829,20.538,100.0,3.538
830,20.817,100.0,3.817
831,20.362,100.0,3.362
832,20.095,100.0,3.095
833,20.972,100.0,3.972
834,19.831,100.0,2.831
835,20.748,100.0,3.748
836,20.748,100.0,3.748
837,20.185,100.0,3.185
838,20.095,100.0,3.095
839,20.538,100.0,3.538
840,19.655,100.0,2.655
841,20.185,100.0,3.185
842,19.918,100.0,2.918
843,20.608,100.0,3.608
844,20.185,100.0,3.185
845,20.274,100.0,3.274
846,20.006,100.0,3.006
847,20.362,100.0,3.362
848,20.095,100.0,3.095
849,21.154,100.0,4.154
850,20.678,100.0,3.678
851,20.095,100.0,3.095
852,19.831,100.0,2.831
853,20.678,100.0,3.678
854,20.362,100.0,3.362
855,20.451,100.0,3.451
856,20.362,100.0,3.362
857,19.743,100.0,2.743
858,20.006,100.0,3.006
859,20.678,100.0,3.678
860,19.743,100.0,2.743
861,19.655,100.0,2.655
862,20.451,100.0,3.451
863,20.538,100.0,3.538
864,20.095,100.0,3.095
865,20.362,100.0,3.362
